row,name,light_years_from_earth,stellar_magnitude,discovery_date,planet_type,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,mass,radius,orbit_radius
17,2MASS J22362452+4751425 b,241.0,12.51,2016,Gas Giant,4505.7 years,0,2MASS J22362452+4751425,Imaging,,0.0,22h36m24.53s,+47d51m42.6s,4045.0,0.6,,12.5,1.1,230.0
18,30 Arietis B b,146.0,6.9620000000000015,2009,Gas Giant,335.1 days,0.29,30 Ari B,Radial Velocity,,0.0,02h36m57.74s,+24d38m53.0s,6331.0,1.93,1.41,13.82,1.1,0.99
19,42 Draconis b,296.0,4.82,2008,Gas Giant,479.1 days,0.38,4 UMa,Radial Velocity,,0.0,08h40m12.82s,+64d19m40.6s,4415.0,1.23,18.11,3.88,1.16,1.19
20,47 Ursae Majoris b,45.0,5.05,1996,Gas Giant,3 years,0.03,42 Dra,Radial Velocity,,0.0,18h25m59.14s,+65d33m48.5s,4200.0,0.98,22.03,2.53,1.18,2.1
21,47 Ursae Majoris c,45.0,5.05,2001,Gas Giant,6.6 years,0.1,47 UMa,Radial Velocity,,0.0,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23,0.54,1.27,3.6
22,47 Ursae Majoris d,45.0,5.05,2009,Gas Giant,38.4 years,0.16,47 UMa,Radial Velocity,,0.0,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23,1.64,1.2,11.6
23,4 Ursae Majoris b,240.0,4.61,2006,Gas Giant,269.3 days,0.43,47 UMa,Radial Velocity,,0.0,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23,7.1,1.13,0.87
24,51 Eridani b,96.0,5.23,2015,Gas Giant,32 years,0.45,51 Eri,Imaging,133.0,0.0,04h37m36.13s,-02d28m24.8s,,1.75,,2,1.19,12.0
25,51 Pegasi b,50.0,5.5,1995,Gas Giant,4.2 days,0.01,51 Peg,Radial Velocity,,0.0,22h57m27.98s,+20d46m07.8s,5793.0,1.12,1.2,0.46,1.27,0.0527
26,55 Cancri b,41.0,5.96,1996,Gas Giant,14.7 days,0,55 Cnc,Radial Velocity,90.0,0.0,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94,0.8306,1.24,0.115227
27,55 Cancri c,41.0,5.96,2004,Gas Giant,44.4 days,0.02,55 Cnc,Radial Velocity,90.0,0.0,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94,0.1714,0.76,0.241376
28,55 Cancri d,41.0,5.96,2002,Gas Giant,13.2 years,0.02,55 Cnc,Radial Velocity,90.0,0.0,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94,3.878,1.16,5.503
29,55 Cancri e,41.0,5.96,2004,Super Earth,0.7 days,0.03,55 Cnc,Radial Velocity,83.3,6.4,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94,8.08,1.91,0.01544
30,55 Cancri f,41.0,5.96,2007,Gas Giant,262 days,0.31,55 Cnc,Radial Velocity,90.0,0.0,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94,0.141,0.677,0.788
31,61 Virginis b,28.0,4.74,2009,Neptune-like,4.2 days,0.12,6 Lyn,Radial Velocity,,0.0,06h30m47.11s,+58d09m45.5s,4938.0,1.44,5.2,5.1,2.11,0.050201
32,61 Virginis c,28.0,4.74,2009,Neptune-like,38 days,0.14,61 Vir,Radial Velocity,,0.0,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96,18.2,0.398,0.2175
33,61 Virginis d,28.0,4.74,2009,Neptune-like,123 days,0.35,61 Vir,Radial Velocity,,0.0,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96,22.9,0.456,0.476
34,6 Lyncis b,179.0,5.86,2008,Gas Giant,2.6 years,0.07,61 Vir,Radial Velocity,,0.0,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96,2.01,1.19,2.11
35,70 Virginis b,58.0,4.97,1996,Gas Giant,116.7 days,0.4,7 CMa,Radial Velocity,90.0,0.0,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87,7.49,1.13,0.481
36,75 Ceti b,271.0,5.35,2012,Gas Giant,1.9 years,0.12,7 CMa,Radial Velocity,90.0,0.0,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87,3,1.17,2.1
37,7 Canis Majoris b,65.0,3.92,2011,Gas Giant,2 years,0.06,70 Vir,Radial Velocity,,0.0,13h28m25.81s,+13d46m43.6s,5495.0,1.09,1.89,1.85,1.2,1.758
38,7 Canis Majoris c,65.0,3.92,2019,Gas Giant,2.7 years,0.08,75 Cet,Radial Velocity,,0.0,02h32m09.42s,-01d02m05.6s,4846.0,2.49,10.5,0.87,1.24,2.153
39,81 Ceti b,331.0,5.65,2008,Gas Giant,2.6 years,0.21,8 UMi,Radial Velocity,,0.0,14h56m48.35s,+74d54m03.3s,4847.0,1.44,10.3,5.3,1.14,2.5
40,8 Ursae Minoris b,533.0,6.83,2015,Gas Giant,93.4 days,0.06,81 Cet,Radial Velocity,,0.0,02h37m41.80s,-03d23m46.2s,4785.0,2.4,11.0,1.31,1.22,0.49
41,91 Aquarii b,144.0,4.25,2013,Gas Giant,181.4 days,0.03,91 Aqr,Radial Velocity,,0.0,23h15m53.50s,-09d05m15.9s,4665.0,1.4,11.0,3.2,1.17,0.7
42,AB Pictoris b,163.0,9.128,2005,Gas Giant,4421.7 years,0,AB Pic,Imaging,,0.0,06h19m12.91s,-58d03m15.5s,,,,13.5,1.1,260.0
43,Alpha Arietis b,66.0,2.0,2010,Gas Giant,380.8 days,0.25,alf Ari,Radial Velocity,,0.0,02h07m10.41s,+23d27m44.7s,4553.0,1.5,13.9,1.8,1.2,1.2
44,Alpha Tauri b,67.0,0.85,2015,Gas Giant,1.7 years,0.1,alf Tau,Radial Velocity,,0.0,04h35m55.24s,+16d30m33.5s,4055.0,1.13,45.1,6.47,1.13,1.46
45,AU Microscopii b,32.0,8.81,2020,Gas Giant,8.5 days,0.1,AU Mic,Transit,,4.4,20h45m09.53s,-31d20m27.2s,3700.0,0.5,0.75,0.18,0.375,0.066
46,BD+03 2562 b,8540.0,9.58,2017,Gas Giant,481.9 days,0.2,BD+03 2562,Radial Velocity,,0.0,11h50m15.55s,+02d45m36.5s,4095.0,1.14,32.35,6.4,1.13,1.3
47,BD-06 1339 b,66.0,9.7,2013,Neptune-like,3.9 days,0,BD+14 4559,Radial Velocity,,0.0,21h13m35.99s,+14d41m21.8s,4864.0,0.49,0.86,8.5,0.254,0.0428
48,BD-06 1339 c,66.0,9.7,2013,Gas Giant,125.9 days,0.31,BD+15 2375,Radial Velocity,,0.0,11h45m55.72s,+14d36m59.0s,4649.0,1.08,8.95,0.17,0.747,0.435
49,BD-08 2823 b,135.0,9.88,2009,Neptune-like,5.6 days,0.15,BD+15 2940,Radial Velocity,,0.0,16h00m22.94s,+15d32m48.9s,4796.0,1.1,14.7,12.7132,0.322,0.06
50,BD-08 2823 c,135.0,9.88,2009,Gas Giant,237.6 days,0.19,BD+20 2457,Radial Velocity,,0.0,10h16m44.86s,+19d53m29.1s,4259.0,10.83,71.02,0.33,1.11,0.68
51,BD-10 3166 b,276.0,10.08,2000,Gas Giant,3.5 days,0.02,BD+20 2457,Radial Velocity,,0.0,10h16m44.86s,+19d53m29.1s,4259.0,10.83,71.02,0.59,1.26,0.04
52,BD-11 4672 b,89.0,9.99,2014,Gas Giant,4.5 years,0.05,BD+20 274,Radial Velocity,,0.0,01h43m40.88s,+21d00m19.1s,4296.0,0.8,17.3,0.65,1.25,2.36
53,BD-11 4672 c,89.0,9.99,2020,Neptune-like,74.2 days,0.4,BD+20 594,Transit,89.55,0.0,03h34m36.23s,+20d35m57.2s,5766.0,1.67,1.08,15.37,0.36,0.3
54,BD-13 2130 b,3095.0,9.45,2007,Gas Giant,2 years,0.21,BD+48 738,Radial Velocity,,0.0,02h42m50.45s,+49d35m13.1s,4414.0,0.74,11.0,9.78,1.11,1.66
55,BD+14 4559 b,161.0,9.63,2009,Gas Giant,268.9 days,0.29,BD+48 740,Radial Velocity,,0.0,02h42m58.22s,+48d55m48.2s,4534.0,1.09,10.33,1.04,1.23,0.78
56,BD+15 2375 b,2525.0,10.31,2016,Gas Giant,153.2 days,0,BD+49 828,Radial Velocity,,0.0,03h02m33.73s,+49d43m48.0s,4943.0,1.52,7.6,1.061,1.23,0.576
57,BD+15 2940 b,1408.0,9.046,2013,Gas Giant,137.5 days,0.26,BD-06 1339,Radial Velocity,,0.0,05h53m00.28s,-05d59m41.4s,4324.0,0.7,,1.11,1.23,0.539
58,BD-17 63 b,113.0,9.566,2008,Gas Giant,1.8 years,0.54,BD-06 1339,Radial Velocity,,0.0,05h53m00.28s,-05d59m41.4s,4324.0,0.7,,5.1,1.15,1.34
59,BD+20 2457 b,5450.0,9.75,2009,Gas Giant,379.6 days,0.15,BD-08 2823,Radial Velocity,,0.0,10h00m47.72s,-09d31m00.0s,4816.0,0.5,0.71,55.59,1.03,1.05
60,BD+20 2457 c,5450.0,9.75,2009,Gas Giant,1.7 years,0.18,BD-08 2823,Radial Velocity,,0.0,10h00m47.72s,-09d31m00.0s,4816.0,0.5,0.71,12.47,1.1,2.01
61,BD+20 274 b,4514.0,9.36,2012,Gas Giant,1.6 years,0.21,BD-10 3166,Radial Velocity,,0.0,10h58m28.80s,-10d46m13.4s,5393.0,1.47,0.91,4.2,1.16,1.3
62,BD+20 594 b,588.0,11.038,2016,Neptune-like,41.7 days,0,BD-11 4672,Radial Velocity,,0.0,18h33m28.84s,-11d38m09.7s,4550.0,0.65,0.64,22.2481,0.23,0.241
63,BD+48 738 b,2910.0,9.14,2011,Gas Giant,392.6 days,0.2,BD-11 4672,Radial Velocity,,0.0,18h33m28.84s,-11d38m09.7s,4550.0,0.65,0.64,0.91,1.24,1.0
64,BD+48 740 b,2215.0,8.699,2018,Gas Giant,2 years,0.76,BD-13 2130,Radial Velocity,,0.0,07h37m09.23s,-13d54m23.9s,4545.0,2.12,19.17,1.7,1.2,1.7
65,BD+49 828 b,1460.0,9.38,2015,Gas Giant,7.1 years,0.35,BD-17 63,Radial Velocity,,0.0,00h28m34.31s,-16d13m34.8s,4714.0,0.74,0.69,1.6,1.21,4.2
66,Beta Cancri b,295.0,3.53,2014,Gas Giant,1.7 years,0.08,bet Cnc,Radial Velocity,,0.0,08h16m30.92s,+09d11m08.0s,4092.1,1.7,47.2,7.8,1.12,1.7
67,Beta Pictoris b,64.0,3.85,2008,Gas Giant,21 years,0.08,bet Pic,Imaging,88.9,0.0,05h47m17.09s,-51d03m59.4s,,1.76,,11,1.65,9.1
68,Beta Pictoris c,64.0,3.85,2019,Gas Giant,3.3 years,0.24,bet Pic,Radial Velocity,90.0,0.0,05h47m17.09s,-51d03m59.4s,,1.76,,9,1.12,2.7
69,Beta Ursae Minoris b,127.0,2.08,2014,Gas Giant,1.4 years,0.19,bet UMi,Radial Velocity,,0.0,14h50m42.33s,+74d09m19.8s,4126.0,1.4,38.3,6.1,1.14,1.4
70,CFBDSIR J145829+101343 b,75.0,0.0,2011,Gas Giant,27.5 years,0,CFBDSIR J145829+101343,Imaging,,0.0,14h58m29.00s,+10d13m43.0s,580.5,0.02,,10.5,1.11,2.6
71,CHXR 73 b,623.0,17.293,2006,Gas Giant,5146.9 years,0,CHXR 73,Imaging,,0.0,11h06m28.77s,-77d37m33.2s,,0.35,,12.569,1.1,210.0
72,CI Tauri b,515.0,12.939,2019,Gas Giant,9 days,0.25,CI Tau,Radial Velocity,50.5,0.0,04h33m52.01s,+22d50m30.1s,,0.9,,11.6,1.11,0
73,CoRoT-10 b,1125.0,15.22,2010,Gas Giant,13.2 days,0.53,CoRoT-1,Transit,85.1,0.38,06h48m19.17s,-03d06m07.7s,5950.0,0.95,1.11,2.75,0.97,0.1055
74,CoRoT-11 b,1827.0,12.939,2010,Gas Giant,3 days,0,CoRoT-10,Transit,88.55,3.7,19h24m15.29s,+00d44m46.1s,5075.0,0.89,0.79,2.33,1.43,0.0436
75,CoRoT-12 b,3751.0,15.515,2010,Gas Giant,2.8 days,0.07,CoRoT-11,Transit,83.17,0.99,18h42m44.94s,+05d56m15.7s,6440.0,1.27,1.37,0.917,1.44,0.04016
76,CoRoT-13 b,3458.0,15.039,2010,Gas Giant,4 days,0,CoRoT-12,Transit,85.48,0.411,06h43m03.76s,-01d17m47.2s,5675.0,1.08,1.12,1.308,0.885,0.051
77,CoRoT-14 b,4371.0,16.033,2010,Gas Giant,1.5 days,0,CoRoT-13,Transit,88.02,2.34,06h50m53.07s,-05d05m11.2s,5945.0,1.09,1.01,7.6,1.09,0.027
78,CoRoT-16 b,2740.0,15.63,2011,Gas Giant,5.4 days,0.33,CoRoT-14,Transit,79.6,7.3,06h53m41.81s,-05d32m09.7s,6035.0,1.13,1.21,0.535,1.17,0.0618
79,CoRoT-17 b,3001.0,15.46,2011,Gas Giant,3.8 days,0,CoRoT-16,Transit,85.01,0.44,18h34m05.93s,-06d00m09.3s,5650.0,1.1,1.19,2.43,1.02,0.0461
80,CoRoT-18 b,2838.0,15.0,2011,Gas Giant,1.9 days,< 0.08,CoRoT-17,Transit,88.34,2.82,18h34m47.82s,-06d36m44.0s,5740.0,1.04,1.59,3.47,1.31,0.0295
81,CoRoT-19 b,2512.0,14.007,2011,Gas Giant,3.9 days,0.05,CoRoT-18,Transit,86.5,2.2,06h32m41.38s,-00d01m53.7s,5440.0,0.95,1.0,1.11,1.29,0.0518
82,CoRoT-1 b,2627.0,13.6,2008,Gas Giant,1.5 days,0,CoRoT-19,Transit,88.0,0.71,06h28m08.06s,-00d10m14.5s,6090.0,1.21,1.65,1.03,1.49,0.02752
83,CoRoT-20 b,2819.0,14.66,2011,Gas Giant,9.2 days,0.59,CoRoT-2,Transit,88.08,1.47,19h27m06.49s,+01d23m01.4s,5625.0,0.96,0.91,4.3,0.84,0.09
84,CoRoT-20 c,2819.0,14.66,2018,Gas Giant,4.6 years,0.6,CoRoT-20,Transit,88.21,0.0,06h30m52.90s,+00d13m36.9s,,1.14,,17,1.09,2.9
85,CoRoT-21 b,4563.0,16.0,2012,Gas Giant,2.7 days,0,CoRoT-20,Radial Velocity,,0.0,06h30m52.90s,+00d13m36.9s,,1.14,,2.26,1.3,0.0417
86,CoRoT-22 b,1931.0,13.944,2014,Neptune-like,9.8 days,0.08,CoRoT-21,Transit,86.8,1.36,06h44m12.588s,-00d17m56.868s,6200.0,1.29,1.95,12.2,0.435,0.092
87,CoRoT-23 b,1957.0,15.63,2011,Gas Giant,3.6 days,0.16,CoRoT-22,Transit,89.749,0.249,18h42m40.11s,+06d13m08.9s,5939.0,1.1,1.14,2.8,1.05,0.048
88,CoRoT-24 b,1957.0,15.18,2014,Neptune-like,5.1 days,0,CoRoT-23,Transit,85.7,3.0,18h39m07.83s,+04d21m28.1s,5900.0,1.14,1.61,5.7,0.33,0.056
89,CoRoT-24 c,1957.0,15.18,2014,Neptune-like,11.8 days,0,CoRoT-24,Transit,86.5,0.9,06h47m41.41s,-03d43m09.5s,4950.0,0.91,0.86,28,0.44,0.098
90,CoRoT-25 b,3262.0,14.711,2013,Gas Giant,4.9 days,0,CoRoT-24,Transit,89.0,1.3,06h47m41.41s,-03d43m09.5s,4950.0,0.91,0.86,0.27,1.08,0.0578
91,CoRoT-26 b,5448.0,15.468,2013,Gas Giant,4.2 days,0,CoRoT-25,Transit,84.5,0.15,18h42m31.12s,+06d30m49.8s,6040.0,1.09,1.19,0.52,1.26,0.0526
92,CoRoT-27 b,3377.0,15.54,2014,Gas Giant,3.6 days,< 0.065,CoRoT-26,Transit,86.8,0.28,18h39m00.12s,+06d58m11.2s,5590.0,1.09,1.79,10.39,1.007,0.0476
93,CoRoT-28 b,1827.0,13.412,2015,Gas Giant,5.2 days,0.05,CoRoT-27,Transit,86.7,12.6,18h33m59.00s,+05d32m18.5s,5900.0,1.05,1.08,0.484,0.955,0.0603
94,CoRoT-29 b,2495.0,15.239,2015,Gas Giant,2.9 days,0.08,CoRoT-28,Transit,88.1,0.69,18h34m45.20s,+05d34m25.4s,5150.0,1.01,1.78,0.85,0.9,0.0386
95,CoRoT-2 b,652.0,12.57,2008,Gas Giant,1.7 days,0.01,CoRoT-29,Transit,87.3,1.45,18h35m36.50s,+06d28m46.7s,5260.0,0.97,0.9,3.47,1.466,0.02798
96,CoRoT-30 b,3132.0,15.65,2020,Gas Giant,9.1 days,0.01,CoRoT-3,Transit,85.9,26.4,19h28m13.26s,+00d07m18.6s,6740.0,1.37,1.56,2.9,1.009,0.0844
97,CoRoT-31 b,7144.0,15.465,2020,Gas Giant,4.6 days,0.02,CoRoT-30,Transit,90.0,3.45,18h30m24.264s,+06d50m09.424s,5650.0,0.98,0.91,0.84,1.46,0.0586
98,CoRoT-3 b,2218.0,13.292,2008,Gas Giant,4.3 days,0,CoRoT-31,Transit,83.2,0.33,06h19m16.975s,-04d25m20.194s,5700.0,1.25,2.15,21.66,1.01,0.05783
99,CoRoT-4 b,2419.0,13.561,2008,Gas Giant,9.2 days,0,CoRoT-4,Transit,90.0,0.525,06h48m46.72s,-00d40m22.0s,6190.0,1.16,1.17,0.72,1.19,0.09
100,CoRoT-5 b,2951.0,13.902,2009,Gas Giant,4 days,0.09,CoRoT-5,Transit,85.83,0.217,06h45m06.54s,+00d48m54.9s,6100.0,1.0,1.19,0.467,1.388,0.04947
101,CoRoT-6 b,2144.0,13.912,2009,Gas Giant,8.9 days,< 0.1,CoRoT-6,Transit,89.07,2.32,18h44m17.41s,+06d39m47.5s,6090.0,1.05,1.02,2.96,1.166,0.0855
102,CoRoT-7 b,524.0,11.668,2009,Super Earth,0.9 days,0,CoRoT-7,Transit,80.1,0.0,06h43m49.47s,-01d03m46.9s,5275.0,0.82,0.83,3.1783,1.681,0.017016
103,CoRoT-7 c,524.0,11.668,2009,Neptune-like,3.7 days,0,CoRoT-7,Radial Velocity,80.0,0.0,06h43m49.47s,-01d03m46.9s,5275.0,0.82,0.83,8.4,0.253,0.046
104,CoRoT-8 b,1240.0,14.8,2010,Gas Giant,6.2 days,0,CoRoT-8,Transit,88.4,1.6,19h26m21.24s,+01d25m35.2s,5080.0,0.88,0.77,0.22,0.57,0.063
105,CoRoT-9 b,1363.0,13.69,2009,Gas Giant,95.3 days,0.13,CoRoT-9,Transit,89.9,0.86,18h43m08.81s,+06d12m15.0s,5625.0,0.96,0.96,0.84,1.066,0.4021
106,CoRoTID 223977153 b,1912.0,13.587,2017,Gas Giant,6.7 days,0,CoRoTID 223977153,Transit,89.0,1.1,06h40m46.84s,+09d15m26.8s,5970.0,1.08,0.79,0.15,0.57,0.071
107,CT Chamaleontis b,538.0,11.773,2007,Gas Giant,Infinity years,0,CT Cha,Imaging,,0.0,11h04m09.09s,-76d27m19.4s,,,,17,2.2,440.0
108,DE Canun Venaticorum b,100.0,11.975,2018,Gas Giant,11.2 years,0,DE CVn,Eclipse Timing Variations,86.0,0.0,13h26m53.27s,+45d32m46.69s,,0.51,,12.0293,1.1,5.75
109,DENIS-P J082303.1-491201 b,68.0,18.558,2013,Gas Giant,246.4 days,0.35,DENIS-P J082303.1-491201,Astrometry,56.6,0.0,08h23m03.13s,-49d12m01.3s,,0.07,,28.5,1.06,0.36
110,DH Tauri b,457.0,12.496,2004,Gas Giant,10441.5 years,0,DH Tau,Imaging,,0.0,04h29m41.56s,+26d32m58.3s,,0.33,0.27,11,2.7,330.0
111,DMPP-1 b,202.0,7.981,2019,Neptune-like,18.6 days,< 0.083,DMPP-1,Radial Velocity,,0.0,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26,24.27,0.472,0.1462
112,DMPP-1 c,202.0,7.981,2019,Neptune-like,6.6 days,< 0.057,DMPP-1,Radial Velocity,,0.0,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26,9.6,0.273,0.0733
113,DMPP-1 d,202.0,7.981,2019,Super Earth,2.9 days,< 0.07,DMPP-1,Radial Velocity,,0.0,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26,3.35,1.65,0.0422
114,DMPP-1 e,202.0,7.981,2019,Super Earth,5.5 days,< 0.07,DMPP-1,Radial Velocity,,0.0,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26,4.13,1.86,0.0651
115,DMPP-2 b,437.0,8.567,2019,Gas Giant,5.2 days,0.08,DMPP-2,Radial Velocity,,0.0,01h49m37.89s,-34d27m32.9s,6500.0,1.44,1.78,0.437,1.28,0.0664
116,DMPP-3 A b,160.0,9.066,2019,Super Earth,6.7 days,0.14,DMPP-3 A,Radial Velocity,,0.0,06h06m29.85s,-72d30m45.6s,5138.0,0.87,0.91,2.58,1.41,0.0662
117,DP Leonis b,995.0,18.633,2009,Gas Giant,28 years,0.39,DP Leo,Eclipse Timing Variations,,0.0,11h17m16.00s,+17d57m41.1s,13500.0,,0.01,6.28,1.14,8.19
118,DS Tucanae A b,144.0,8.469,2019,Neptune-like,8.1 days,0,DS Tuc A,Transit,89.5,0.0,23h39m39.48s,-69d11m44.7s,5428.0,1.01,0.96,1.3,0.509,0
119,EPIC 201238110 b,522.0,15.261,2019,Super Earth,28.2 days,0,EPIC 201238110,Transit,,0.0,11h58m49.42s,-03d23m21.8s,,0.41,,4.16,1.87,0
120,EPIC 201497682 b,831.0,14.102,2019,Terrestrial,2.1 days,0,EPIC 201497682,Transit,,0.0,11h15m44.79s,+00d29m17.2s,,0.78,,0.26,0.692,0
121,EPIC 201615463 c,1569.0,12.074000000000002,2019,Super Earth,3.8 days,0,K2-166,Transit,,0.0,12h20m45.19s,+02d16m56.8s,,1.07,,1.98,1.22,0
122,EPIC 201754305 d,1103.0,14.67,2019,Super Earth,2.7 days,0,K2-16,Transit,,0.0,11h40m23.34s,+04d33m26.4s,,0.67,,1.08,1.03,0
123,EPIC 201833600 c,846.0,14.717,2019,Terrestrial,4 days,0,K2-50,Transit,,0.0,11h17m56.07s,+05d59m18.2s,,0.61,,0.972,1.0,0
124,EPIC 201841433 b,1442.0,14.867,2019,Super Earth,4.2 days,0,EPIC 201841433,Transit,,0.0,11h40m49.63s,+06d08m05.5s,,0.8,,1.37,1.1,0
125,EPIC 205950854 c,801.0,12.291,2019,Super Earth,8.1 days,0,K2-168,Transit,89.81,0.0,22h12m26.37s,-16d20m30.3s,5502.7,0.88,0.83,2.27,1.31,0
126,EPIC 206024342 b,1219.0,13.116,2019,Super Earth,4.5 days,0,EPIC 206024342,Transit,,0.0,22h05m06.53s,-14d07m18.0s,,0.93,,3.53,1.7,0
127,EPIC 206032309 b,529.0,16.069000000000006,2019,Super Earth,2.9 days,0,EPIC 206032309,Transit,,0.0,22h44m57.77s,-13d54m03.3s,,0.22,,1.01,1.01,0
128,EPIC 206042996 b,1492.0,16.743,2019,Super Earth,5.3 days,0,EPIC 206042996,Transit,,0.0,22h30m03.26s,-13d36m36.4s,,0.56,,3.26,1.62,0
129,EPIC 206215704 b,360.0,16.172,2019,Terrestrial,2.3 days,0,EPIC 206215704,Transit,,0.0,22h20m22.76s,-09d30m34.3s,,0.41,,0.666,0.9,0
130,EPIC 206317286 b,1035.0,14.050999999999998,2019,Terrestrial,1.6 days,0,EPIC 206317286,Transit,,0.0,22h30m28.22s,-07d58m20.7s,,0.71,,0.84,0.96,0
131,EPIC 211822797 b,611.0,15.255999999999998,2016,Super Earth,21.2 days,0.06,EPIC 211822797,Transit,89.73,0.0,08h41m38.49s,+17d38m24.0s,4148.21,0.66,0.57,4.58,1.98,0.131
132,EPIC 211945201 b,596.0,10.154,2018,Neptune-like,19.5 days,0,EPIC 211945201,Transit,,0.0,09h06m17.75s,+19d24m08.1s,6069.0,1.17,1.39,27,0.514,0.1493
133,EPIC 212297394 b,1381.0,14.423,2019,Super Earth,2.3 days,0,EPIC 212297394,Transit,,0.0,13h48m49.49s,-17d36m35.7s,,0.83,,2.31,1.323,0
